IFX,SDF
8.66,60.53
8.74,60.75
8.85,60.62
9.03,60.83
9.17,60.9
9.24,60.51
9.17,60.48
9.13,61.88
9.13,61.8
9.11,60.85
9.12,60.55
9.05,59.43
9.16,59.75
9.29,58.89
9.68,58.15
9.69,59.46
9.68,58.6
9.71,58.91
9.75,59.33
9.61,58.26
9.73,58.09
9.76,59.35
9.5,60.55
9.49,61.4
9.75,63.19
9.71,63.22
9.17,63.23
9.35,63.2
9.31,64.66
9.25,62.7
9.54,63.85
9.51,65.69
9.6,65.71
9.58,66.16
9.64,66.73
9.68,66.06
9.76,67.7
10.03,67.1
10.24,67.72
10.09,66.15
10.07,68.28
9.85,68.96
9.65,68
9.75,69.26
9.71,70.26
9.54,73.46
9.55,73.25
9.53,72.11
9.51,72.04
9.54,74.15
9.39,74.2
9.29,74.52
9.26,74.53
9.47,75.36
9.62,75.75
9.54,75.59
9.46,75.54
9.3,75
9.28,75.12
9.47,74.8
9.79,75.08
9.57,75
9.78,74.75
9.88,73.67
9.84,73.75
9.96,74.8
9.9,75.61
9.86,75.25
9.66,73.81
9.57,72.55
9.74,75.2
9.68,73.62
9.7,74.15
9.87,76
9.91,78.07
10,79.48
10.13,78.24
10.15,78.88
10.21,79.52
10.26,79.49
10.44,80.9
10.4,80.65
10.41,81.08
10.41,81.69
10.32,79.93
10.41,80.9
10.5,80
10.49,79.17
10.49,79.17
10.49,79.17
10.6,80.24
10.56,81.25
10.68,82.2
10.68,82.2
10.66,82.25
10.77,80.9
10.82,78.67
10.7,75.66
10.88,75
10.94,76.5
10.96,73.98
11.2,75.34
11.18,77.9
11.21,79.15
11.21,78.75
11.35,77.48
11.09,76.7
10.86,78.37
10.74,78.71
10.72,78.57
10.74,79
11,80.62
11.09,79.39
11.19,80.26
11.17,80.84
10.97,83.36
10.98,84.56
11.07,84.49
10.96,83.9
10.8,82.2
11.96,86.73
12.16,84.3
12,85.75
12.15,86.31
12.1,87
12.27,90.03
12.13,89.08
12.27,87.86
12.16,90.88
12.23,88.66
12.05,89.03
11.99,89.66
11.93,88
11.86,88.98
11.6,82.7
11.6,81.52
11.43,79.88
11.38,80.69
11.33,78.69
11.29,79.38
11.26,80.7
11.49,81.05
11.37,79.6
11.44,79.01
11.41,80.35
11.09,76.15
11.08,80.28
11.26,79.2
11.37,81.41
11.41,82.12
11.53,81
11.77,84
11.71,82.73
11.7,81.22
11.54,81.25
11.54,79.81
11.63,82.45
11.65,82.34
11.56,82.35
11.64,85.5
11.6,88
11.6,88.35
11.6,88.35
11.6,88.35
11.55,89.95
11.53,87.05
11.78,86.9
11.6,91.9
11.69,95.7
11.63,97.45
11.56,95.8
11.55,95.62
11.44,97.89
11.33,98.25
11.54,95.15
11.71,96.3
11.9,96.01
11.63,95.12
11.46,96.42
11.46,96.42
11.37,96.49
11.21,93.72
11.44,95.31
11.39,93.81
11.34,93
11.31,93.83
11.21,90.43
11.07,92.86
10.96,92.13
11.24,94.27
10.88,95.75
10.97,95.45
10.95,96.62
11.02,97.7
10.98,101.15
11.03,102.45
11.23,102.13
11.16,103.64
11.16,103.64
11.17,104.35
11.18,103.7
11.52,106.7
11.77,107
11.73,107.72
11.71,106.78
11.37,101.3
11.34,100.24
11.44,101.64
11.43,105.14
11.4,103.5
11.57,104.79
11.75,105.9
12.05,107.39
12.2,109.15
12.28,110.97
12.66,111.65
12.81,109.1
12.52,110.62
12.36,111.26
12.24,110.53
12.16,108.5
12.32,112.6
12.31,114.06
12.54,115.46
12.59,117.4
12.73,116.45
12.68,114.61
12.85,115.59
12.92,117.11
12.95,115.15
12.94,114.06
13.41,116.59
13.37,116.43
13.44,117.01
13.29,116.99
13.01,114.23
13.13,114.9
12.97,115.21
12.89,113.81
12.63,111.06
12.55,107.65
12.2,104.19
12.21,103.32
12.15,106.69
12.16,109.01
11.78,103.22
11.87,105.09
11.76,106.96
11.3,106.76
11.1,107.64
11.29,117.85
11.22,116.5
10.76,110.18
11.11,112.97
11.16,105.33
11.08,101.5
10.72,94.72
10.76,93.11
10.84,95.46
10.86,97.25
11.16,99.55
11.03,101.67
11.03,99.6
10.92,101.28
10.7,97.89
10.7,100.14
11.01,101.32
11.42,105.39
11.6,105
11.69,105.67
11.54,102.89
12.12,103.27
12,99.86
12.05,99.8
12.05,102.53
11.83,103.19
11.78,101.06
11.6,111.52
11.62,106.85
11.81,108.25
11.88,115.09
11.86,115.77
12.01,118.95
11.65,127.42
11.56,124.34
11.66,125.14
11.77,130.98
12.09,128.56
11.95,125.31
11.84,128.02
11.75,126.51
11.4,124.73
11.14,123.37
11.25,124.19
11.09,128.54
11.11,129.01
11.09,130.09
10.9,131.94
10.75,132.01
10.82,130.52
11.05,130.77
10.96,129.46
10.62,128.72
10.38,126.8
10.3,128.21
10.17,128.7
10.23,130
10.23,144.38
10.29,141.88
10.21,141.9
10.13,144.31
9.8,140.44
9.82,140.15
9.62,138.87
9.53,147.92
9.33,152.59
9.04,150.53
9.11,146.68
9.29,132.51
9.25,139.45
9.5,135.03
9.1,126.55
8.15,128.15
8.05,124.01
7.97,127.85
7.62,120.48
7.75,118.84
7.69,113.97
7.8,115.19
7.66,115.5
7.98,124.64
